manufacturer_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_type,engine_capacity,body_type,has_warranty,drivetrain,price_usd
0,1,4,190000,2010,2,2,2.5,10,FALSE,0,10900
0,1,1,290000,2002,2,2,3,10,FALSE,0,5000
0,1,3,402000,2001,2,2,2.5,9,FALSE,0,2800
0,0,1,10000,1999,2,2,3,8,FALSE,0,9999
0,1,0,280000,2001,2,2,2.5,10,FALSE,0,2134.11
0,1,4,132449,2011,2,2,2.5,10,FALSE,0,14700
0,1,0,318280,1998,2,2,2.5,10,FALSE,0,3000
0,1,4,350000,2004,2,2,2.5,8,FALSE,0,4500
0,1,3,179000,2010,2,2,2.5,10,FALSE,0,12900
0,1,4,571317,1999,2,2,2.5,10,FALSE,0,4200
0,0,1,280000,2003,2,2,2,9,FALSE,0,6900
0,1,3,256000,2008,2,2,3.6,9,FALSE,0,8350
0,0,1,321000,2002,2,2,2,9,FALSE,0,4300
0,0,3,49999,2001,2,2,1.3,2,FALSE,0,1666
0,1,2,154685,2011,2,2,2.5,10,FALSE,0,8600
0,1,0,163219,2004,2,2,2,10,FALSE,0,7300
0,1,1,318650,2005,2,2,3,10,FALSE,0,7587.97
0,0,1,191000,2005,2,2,2,8,FALSE,0,10950
0,1,4,179000,2014,2,2,2,9,FALSE,0,12700
0,1,0,159000,2013,2,2,2,9,FALSE,0,16500
0,1,5,257495,2008,2,2,2.5,10,FALSE,0,8700
0,1,4,241402,2005,2,2,3,9,FALSE,0,7500
0,1,0,188000,2006,2,2,3,9,FALSE,0,8650
0,1,1,240000,2001,2,2,2.5,10,FALSE,0,3500
0,1,2,249448,2002,2,2,2.5,10,FALSE,0,3800
0,1,1,250000,2007,2,2,3,9,FALSE,0,7200
0,1,2,417000,1997,2,2,2,10,FALSE,1,1850
0,1,4,377000,1999,2,2,2.5,10,FALSE,0,3800
0,0,0,300000,1999,2,2,2,10,FALSE,0,3000
0,0,0,270000,2004,2,2,2,8,FALSE,0,6200
0,0,2,444444,1999,2,2,2,10,FALSE,0,3700
0,1,0,299000,1994,2,2,2.2,10,FALSE,0,650
0,0,4,340000,1993,2,2,1.6,10,FALSE,0,2000
0,0,0,123456,1991,2,2,2.2,8,FALSE,0,800
0,0,4,118000,2011,2,2,2.5,8,FALSE,0,14950
0,1,0,246113,2008,2,2,1.5,2,FALSE,0,5350
0,1,2,128748,2016,2,2,3.6,10,FALSE,0,17059.12
0,0,3,100000,1994,2,2,2,8,FALSE,0,1700
0,1,1,342790,1999,2,2,2.5,10,FALSE,0,3500
0,0,4,390000,1997,2,2,2,9,FALSE,0,3000
0,1,0,215000,2008,2,2,2.5,10,FALSE,0,8100
0,0,3,288500,2006,2,2,2.5,10,FALSE,0,8500
0,1,3,225000,2005,2,2,3,9,FALSE,0,7500
0,1,2,310000,2001,2,2,2.5,3,FALSE,0,3300
0,1,5,121000,2014,2,2,2,9,FALSE,0,14950
0,1,1,242000,2003,2,2,2.5,9,FALSE,0,4490
0,0,2,286,1998,2,2,2.5,10,FALSE,0,2650
0,1,3,209000,2007,2,2,2,8,FALSE,0,6950
0,0,4,195000,2006,2,2,3,8,FALSE,0,8200
0,1,0,126705,2014,2,2,2.5,10,FALSE,0,16500
0,1,1,164153,2008,2,2,2.5,10,FALSE,0,8500
0,0,1,143000,2009,2,2,1.5,2,FALSE,1,6450
0,0,5,463491,2002,2,2,2.5,10,FALSE,0,3150
0,0,2,321869,1998,2,2,2.2,10,FALSE,0,1900
0,0,1,250000,2005,2,2,2,8,FALSE,0,4899
0,0,0,260000,1999,2,2,2.5,10,FALSE,0,2500
0,0,2,300000,1999,2,2,2,9,FALSE,0,1700
0,1,3,358047,1999,2,2,2.5,10,FALSE,0,1800
0,0,1,296000,2003,2,2,2,10,FALSE,0,6150
0,1,3,183000,2012,2,2,2,9,FALSE,0,12900
0,1,3,116000,2010,2,2,2.5,8,FALSE,0,7250
0,0,1,450000,1995,2,2,2,10,FALSE,0,900
0,1,2,180000,2008,2,2,2.5,10,FALSE,0,9400
0,0,0,343455,2001,2,2,2,10,FALSE,0,3300
0,1,5,202777,2009,2,2,2.5,8,FALSE,0,8200
0,1,0,230000,2001,2,2,2.5,9,FALSE,0,4200
0,0,3,80000,1992,2,2,1.2,2,FALSE,0,2100
0,1,2,408263,1999,2,2,2.5,10,FALSE,0,1499
0,1,0,193,2010,2,2,2.5,10,FALSE,0,9800
0,1,4,300000,1998,2,2,2.5,10,FALSE,0,2500
0,0,2,285000,2001,2,2,2.5,10,FALSE,0,3650
0,0,3,363500,1994,2,2,2,10,FALSE,1,1400
0,0,4,127138,2005,2,2,2.5,8,FALSE,0,5400
0,1,3,88000,2014,2,2,2,9,TRUE,0,12950
0,1,0,128000,2012,2,2,2,9,FALSE,0,15490
0,1,1,177000,2010,2,2,2.5,10,FALSE,0,13500
0,0,4,350000,2000,2,2,2,10,FALSE,0,2000
0,0,3,173000,2005,2,2,2.5,9,FALSE,0,7500
0,1,1,280000,2004,2,2,2.5,9,FALSE,0,5800
0,0,2,270000,1998,2,2,2.5,9,FALSE,1,2750
0,1,1,310000,1996,2,2,2,10,FALSE,0,3299
0,0,2,450000,1996,2,2,2,10,FALSE,0,1400
0,1,1,179000,2008,2,2,3.6,9,FALSE,0,9900
0,1,4,175000,2013,2,2,2.5,10,FALSE,0,15900
0,0,1,130000,2008,2,2,2.5,2,FALSE,0,13500
0,1,4,305000,1999,2,2,2.5,9,FALSE,0,3750
0,1,4,294000,1999,2,2,2,10,FALSE,0,3400
0,0,4,353000,2000,2,2,2.5,10,FALSE,0,4250
0,0,0,400000,2003,2,2,2,10,FALSE,0,5500
0,0,2,329786,2001,2,2,1.6,10,FALSE,0,4100
0,0,3,230000,2003,2,2,2,10,FALSE,0,7000
0,0,1,160000,2010,2,2,2.5,9,FALSE,0,12600
0,1,2,279000,2008,2,2,3.6,9,FALSE,0,5400
0,1,4,80000,2016,2,2,2,8,FALSE,0,14500
0,1,1,394289,2002,2,2,2.5,10,FALSE,0,3900
0,1,1,256000,2012,2,2,2.5,10,FALSE,0,14227.45
0,1,4,160000,2011,2,2,2.5,9,FALSE,0,17000
0,0,0,218000,1997,2,2,2.5,9,FALSE,0,3750
0,1,4,273588,2006,2,2,2.5,10,FALSE,0,6000
0,0,0,103975,2011,2,2,2.5,9,FALSE,0,15500
0,0,1,330000,1995,2,2,2.2,8,FALSE,0,1900
0,1,0,205328,2008,2,2,2.5,2,FALSE,0,6499
0,1,1,353624,2001,2,2,3,10,FALSE,0,5250
0,0,4,170000,2008,2,2,1,6,FALSE,1,5199
0,1,1,370000,2004,2,2,2.5,10,FALSE,0,6000
0,1,0,233000,2000,2,2,2,10,FALSE,0,6800
0,0,2,354056,1998,2,2,2.2,10,FALSE,0,1900
0,1,0,160000,2010,2,2,2.5,9,FALSE,0,8650
0,0,4,295000,1996,2,2,2,10,FALSE,0,1565.02
0,1,3,100000,2012,2,2,2.5,10,FALSE,0,16300
